,1,35.71818996415771,1,64.50434587813884
0,2,38.71354166666666,2,64.20339781746097
1,3,39.25500705218618,3,63.605162200282756
2,4,39.760279494759466,4,63.6832840634243
3,5,48.61715949820788,5,62.9862455197132
4,6,52.91296296296297,6,62.477106481480945
5,7,53.54671745462693,7,62.398767645081385
6,8,52.70876288659794,8,61.50818298969257
7,9,52.26806653940551,9,62.08958276520375
8,10,48.18077956989247,10,63.10844534050137
9,11,40.737268518518526,11,63.996527777776535
10,12,39.30107526881721,12,64.03969534050036
