,UNIT,YEAR,MONTH,PEST COUNT,PEM RH Avg,PEM Temp Avg,External RH AVG,External Temp Avg
0,RBML,2018,Jan,27,35.71818996,64.50434588,77.97741935,24.57096774
1,RBML,2018,Feb,2,38.71354167,64.20339782,82.15714286,33.275
2,RBML,2018,Mar,11,39.25500705,63.6051622,69.85806452,38.36451613
3,RBML,2018,Apr,53,39.76027949,63.68328406,65.11,46.05666667
4,RBML,2018,May,7,48.6171595,62.98624552,67.92258065,72.18387097
5,RBML,2018,Jun,2,52.91296296,62.47710648,79.73,75.13
6,RBML,2018,Jul,2,53.54671745,62.39876765,75.50322581,74.7
7,RBML,2018,Aug,16,52.70876289,61.50818299,77.7483871,75.11290323
8,RBML,2018,Sep,0,52.26806654,62.08958277,72.83,70.75333333
9,RBML,2018,Oct,1,48.18077957,63.10844534,73.97741935,54.43548387
10,RBML,2018,Nov,1,40.73726852,63.99652778,82.00333333,35.40666667
11,RBML,2018,Dec,10,39.30107527,64.03969534,84.1483871,34.03225806
