year,month,day,avg_air_temp,avg_rel_hum
2018,1,1,-7,68.9
2018,1,2,-2,72.3
2018,1,3,12.7,71.4
2018,1,4,3.5,68.5
2018,1,5,5.8,65.6
2018,1,6,2.7,68
2018,1,7,25.3,70.1
2018,1,8,32,95.2
2018,1,9,30,97.2
2018,1,10,44.5,97.7
2018,1,11,48.4,93.7
2018,1,12,19.5,77.2
2018,1,13,14,59.8
2018,1,14,14.3,75.4
2018,1,15,13.6,88.1
2018,1,16,2.7,80.4
2018,1,17,9.2,80.9
2018,1,18,22.5,72.3
2018,1,19,30.7,73.6
2018,1,20,36.7,84.4
2018,1,21,44.1,98.5
2018,1,22,45.6,87.5
2018,1,23,33.2,90.3
2018,1,24,27.2,80.5
2018,1,25,36,81.1
2018,1,26,43.6,67.6
2018,1,27,44.6,70.8
2018,1,28,38.3,69.2
2018,1,29,27.4,78.2
2018,1,30,25.1,68.9
2018,1,31,37.5,64
2018,2,1,25.3,59.5
2018,2,2,15.3,54
2018,2,3,31.4,51.6
2018,2,4,22.7,85.2
2018,2,5,10.4,75.3
2018,2,6,13.4,81.5
2018,2,7,17.4,79
2018,2,8,21.4,79.5
2018,2,9,34.2,80.3
2018,2,10,24.1,89.2
2018,2,11,22.2,87.4
2018,2,12,21,74.9
2018,2,13,30.4,74.5
2018,2,14,42,97.3
2018,2,15,53.4,99.1
2018,2,16,34.1,77.6
2018,2,17,29.6,92.7
2018,2,18,35.1,83
2018,2,19,54.4,96
2018,2,20,56.7,95.4
2018,2,21,32.3,91.5
2018,2,22,39.3,95.9
2018,2,23,42.7,96.1
2018,2,24,44,98.5
2018,2,25,38.7,75.1
2018,2,26,41.2,73.3
2018,2,27,47.8,66.5
2018,2,28,51.2,90.5
2018,3,1,43.5,91.8
2018,3,2,39,66.9
2018,3,3,39.8,60.6
2018,3,4,41.1,56.9
2018,3,5,38,73.6
2018,3,6,34.7,85.6
2018,3,7,32.2,74.3
2018,3,8,27.8,67.7
2018,3,9,32.4,65.2
2018,3,10,37.2,57.2
2018,3,11,35.4,61.7
2018,3,12,36.2,66.1
2018,3,13,32.4,65.6
2018,3,14,34.6,59.2
2018,3,15,43.8,52.1
2018,3,16,36.1,58.5
2018,3,17,35.3,92.1
2018,3,18,41.5,62.4
2018,3,19,46,53.9
2018,3,20,34.9,58.3
2018,3,21,36,58.3
2018,3,22,38.9,52.8
2018,3,23,42.1,39.2
2018,3,24,32.2,98.2
2018,3,25,33.1,70.9
2018,3,26,40.1,78.6
2018,3,27,47.5,97.5
2018,3,28,46.2,92.5
2018,3,29,45.9,91.1
2018,3,30,41.2,75.2
2018,3,31,44.2,81.6
2018,4,1,29.9,81.7
2018,4,2,32.1,88.1
2018,4,3,46.7,96.1
2018,4,4,30.7,76.6
2018,4,5,38.5,75.4
2018,4,6,36.3,63.1
2018,4,7,30.2,55.1
2018,4,8,33.7,58.6
2018,4,9,36.1,83.7
2018,4,10,37,72.9
2018,4,11,51.7,64.5
2018,4,12,65.4,52.1
2018,4,13,65.3,72
2018,4,14,59.5,92.3
2018,4,15,42.5,86
2018,4,16,32.3,75.8
2018,4,17,39,67.6
2018,4,18,41.3,73.6
2018,4,19,44.2,60.7
2018,4,20,48.9,39.8
